"","date","total_cases","new_cases","total_deaths","new_deaths","growth_factor","death_percentage","MA_growth_factor","MA_new_cases"
"37",2020-02-27,21,1,2,0,0.5,0.0952380952380952,NA,0.571428571428571
"38",2020-02-28,23,2,2,0,2,0.0869565217391304,NA,0.714285714285714
"39",2020-02-29,34,11,3,1,5.5,0.0882352941176471,NA,1.5
"40",2020-03-01,40,6,3,0,0.545454545454545,0.075,NA,1.92857142857143
"41",2020-03-02,62,22,8,5,3.66666666666667,0.129032258064516,NA,3.5
"42",2020-03-03,81,19,9,1,0.863636363636364,0.111111111111111,NA,4.78571428571429
"43",2020-03-04,116,35,13,4,1.84210526315789,0.112068965517241,NA,7.28571428571429
"44",2020-03-05,182,66,14,1,1.88571428571429,0.0769230769230769,NA,12
"45",2020-03-06,231,49,19,5,0.742424242424242,0.0822510822510823,NA,15.2857142857143
"46",2020-03-07,377,146,22,3,2.97959183673469,0.0583554376657825,NA,25.7142857142857
"47",2020-03-08,492,115,25,3,0.787671232876712,0.0508130081300813,1.7366617454761,33.9285714285714
"48",2020-03-09,754,262,31,6,2.27826086956522,0.0411140583554377,1.82796609330219,52.5714285714286
"49",2020-03-10,1039,285,34,3,1.08778625954198,0.0327237728585178,1.9056651118409,72.9285714285714
"50",2020-03-11,1388,349,40,6,1.22456140350877,0.0288184438040346,1.85027664066296,97.7142857142857
"51",2020-03-12,1799,411,44,4,1.17765042979943,0.0244580322401334,1.89868024279149,127
"52",2020-03-13,2342,543,51,7,1.32116788321168,0.0217762596071734,1.85019223444946,165.642857142857
"53",2020-03-14,2973,631,60,9,1.16206261510129,0.0201816347124117,1.54033956409956,209.928571428571
"54",2020-03-15,3784,811,71,11,1.28526148969889,0.0187632135306554,1.59318291725987,267.428571428571
"55",2020-03-16,4754,970,99,28,1.1960542540074,0.0208245687841817,1.41671060206992,335.142857142857
"56",2020-03-17,6302,1548,115,16,1.59587628865979,0.0182481751824818,1.46901345385731,444.357142857143
"57",2020-03-18,9220,2918,152,37,1.88501291989664,0.0164859002169197,1.4720782864815,650.285714285714
"58",2020-03-19,14242,5022,212,60,1.72104180945853,0.0148855497823339,1.46031596674895,1004.28571428571
"59",2020-03-20,19157,4915,253,41,0.978693747510952,0.0132066607506395,1.47719235996943,1351.85714285714
"60",2020-03-21,26480,7323,333,80,1.48992878942014,0.0125755287009063,1.37078785658982,1864.5
"61",2020-03-22,33767,7287,424,91,0.995083981974601,0.0125566381378269,1.38560305295395,2376.78571428571
"62",2020-03-23,43904,10137,561,137,1.39110745162618,0.0127778790087464,1.32223495167259,3082.14285714286
"63",2020-03-24,53896,9992,754,193,0.985695965275723,0.0139899064865667,1.31494278779643,3775.5
"64",2020-03-25,68580,14684,1019,265,1.46957566052842,0.0148585593467483,1.33244380615498,4799.42857142857
"65",2020-03-26,85063,16483,1288,269,1.12251430128031,0.0151417184910008,1.32850551126075,5947.42857142857
"66",2020-03-27,102617,17554,1644,356,1.06497603591579,0.0160207373047351,1.31020609359676,7162.5
"67",2020-03-28,122990,20373,2129,485,1.16059017887661,0.0173103504349947,1.31010091958071,8572.64285714286
"68",2020-03-29,141759,18769,2486,357,0.921268345359054,0.0175368054232888,1.28410140927073,9855.35714285714
"69",2020-03-30,163711,21952,3045,559,1.16958815067398,0.0185998497352041,1.28221097331834,11354.0714285714
"70",2020-03-31,186755,23044,3890,845,1.04974489795918,0.0208294289309523,1.24320158826829,12889.5
"71",2020-04-01,213139,26384,4834,944,1.14494011456344,0.0226800350944689,1.19033924503021,14565.6428571429
"72",2020-04-02,241861,28722,5932,1098,1.08861431170406,0.0245264842202753,1.14516585233346,16258.5
"73",2020-04-03,277065,35204,7105,1173,1.22568066290648,0.0256438019959215,1.16280777486171,18422
"74",2020-04-04,310743,33678,8302,1197,0.956652653107601,0.0267166114763647,1.12471662226796,20304.5
"75",2020-04-05,335461,24718,9620,1318,0.733950947205891,0.0286769549962589,1.10606426264162,21549.5714285714
"76",2020-04-06,365325,29864,10938,1318,1.20818836475443,0.0299404639704373,1.09299861357936,22958.6428571429
"77",2020-04-07,395656,30331,12883,1945,1.01563755692473,0.0325611136947247,1.09513729869714,24411.4285714286
"78",2020-04-08,428228,32572,14762,1879,1.07388480432561,0.0344722904620903,1.06687366611123,25689.1428571429
"79",2020-04-09,462075,33847,16533,1771,1.03914405010438,0.0357799058594384,1.06091864817009,26929.4285714286
"80",2020-04-10,495204,33129,18852,2319,0.978786893964015,0.0380691593767417,1.05476228088782,28041.9285714286
"81",2020-04-11,526393,31189,20434,1582,0.941441033535573,0.0388189052665974,1.03910877050632,28814.5
"82",2020-04-12,553616,27223,21932,1498,0.872839783256917,0.0396159070547094,1.03564958749902,29418.3571428571
"83",2020-04-13,578521,24905,22874,942,0.914851412408625,0.0395387548593742,1.01745410619435,29629.2857142857
"84",2020-04-14,603932,25411,29551,6677,1.02031720538045,0.0489310054774379,1.01535212815301,29798.3571428571
"85",2020-04-15,633957,30025,32124,2573,1.18157490850419,0.0506722064745716,1.01796889914878,30058.4285714286
"86",2020-04-16,666410,32453,34302,2178,1.0808659450458,0.0514728170345583,1.01741544438748,30324.9285714286
"87",2020-04-17,697446,31036,36046,1744,0.956336856376914,0.0516828542998311,0.998176601063937,30027.2142857143
