"","date","new_cases","new_deaths","total_cases","total_deaths","growth_factor","death_percentage","MA_growth_factor","MA_new_cases"
"75",2020-03-14,511,7,2174,47,1.45584045584046,0.0216191352345906,1.67879682356439,150.571428571429
"76",2020-03-15,777,10,2951,57,1.52054794520548,0.0193154862758387,1.75169310536478,205.857142857143
"77",2020-03-16,823,12,3774,69,1.05920205920206,0.0182829888712242,1.35115991911731,263.214285714286
"78",2020-03-17,887,16,4661,85,1.07776427703524,0.0182364299506544,1.37814308176269,325.571428571429
"79",2020-03-18,1766,23,6427,108,1.99098083427283,0.016804107670764,1.40811110053728,450.142857142857
"80",2020-03-19,2988,42,9415,150,1.69195922989807,0.0159320233669676,1.41857572085467,661.142857142857
"81",2020-03-20,4835,0,14250,150,1.61813922356091,0.0105263157894737,1.37869490909221,1001.21428571429
"82",2020-03-21,5374,110,19624,260,1.11147880041365,0.0132490827558092,1.35673490062755,1377.57142857143
"83",2020-03-22,7123,80,26747,340,1.32545589877186,0.012711705985718,1.38678447162826,1879.57142857143
"84",2020-03-23,8459,131,35206,471,1.18756142074968,0.0133784014088508,1.38063284378708,2475.14285714286
"85",2020-03-24,11236,119,46442,590,1.32828939590968,0.0127040179148185,1.35744690335323,3263.42857142857
"86",2020-03-25,8789,211,55231,801,0.782217871128515,0.0145027249189767,1.31653389414813,3871.85714285714
"87",2020-03-26,13963,249,69194,1050,1.58869040846513,0.0151747261323236,1.3543660240095,4848.71428571429
"88",2020-03-27,16797,246,85991,1296,1.20296497887274,0.0150713446756056,1.35293519995188,6023.42857142857
"89",2020-03-28,18695,411,104686,1707,1.11299636839912,0.0163059052786428,1.32844633656321,7322.28571428571
"90",2020-03-29,19979,484,124665,2191,1.06868146563252,0.0175751012714074,1.29617015945086,8693.85714285714
"91",2020-03-30,18360,318,143025,2509,0.918964913158817,0.017542387694459,1.28615322044777,9946.5
"92",2020-03-31,21595,661,164620,3170,1.17619825708061,0.0192564694447819,1.29318421902244,11425.6428571429
"93",2020-04-01,24998,909,189618,4079,1.15758277379023,0.0215116708329378,1.23365578613082,13085.0714285714
"94",2020-04-02,27103,1059,216721,5138,1.08420673653892,0.0237079009417638,1.19024489374803,14807.5714285714
"95",2020-04-03,28819,915,245540,6053,1.06331402427776,0.0246517878960658,1.15061452237066,16520.7142857143
"96",2020-04-04,32425,1104,277965,7157,1.12512578507235,0.0257478459518285,1.15158930698914,18452.9285714286
"97",2020-04-05,34272,1344,312237,8501,1.05696222050887,0.0272261134971192,1.13241118711321,20392.1428571429
"98",2020-04-06,25398,1146,337635,9647,0.741071428571429,0.0285722747937862,1.10051904481476,21602.0714285714
"99",2020-04-07,30561,1342,368196,10989,1.20328372312781,0.029845517061565,1.09159006818749,22982.4285714286
"100",2020-04-08,30613,1906,398809,12895,1.00170151500278,0.0323337738115238,1.10726747132136,24541.2857142857
"101",2020-04-09,33323,1922,432132,14817,1.08852448306275,0.0342881341812224,1.07154133379262,25924.1428571429
"102",2020-04-10,33901,1873,466033,16690,1.01734537706689,0.0358129145360951,1.05828279080649,27145.8571428571
"103",2020-04-11,35527,2087,501560,18777,1.04796318692664,0.0374371959486402,1.05363756355845,28348.1428571429
"104",2020-04-12,28391,1831,529951,20608,0.799138683254989,0.0388866140454495,1.03438450767435,28949
"105",2020-04-13,27620,1500,557571,22108,0.972843506745095,0.0396505557139808,1.03823297864479,29610.4285714286
"106",2020-04-14,25023,1541,582594,23649,0.905973931933382,0.0405925910668493,1.01893124113428,29855.2857142857
"107",2020-04-15,26922,2408,609516,26057,1.07589018103345,0.04275031336339,1.01309605593736,29992.7142857143
"108",2020-04-16,30148,4928,639664,30985,1.11982765024887,0.0484394932339478,1.01564040691665,30210.2142857143
"109",2020-04-17,31667,2299,671331,33284,1.05038476847552,0.0495791196890952,1.01471688864506,30413.6428571429
"110",2020-04-18,30833,3770,702164,37054,0.973663435121736,0.0527711474812152,1.00389814936287,30299.9285714286
"111",2020-04-19,32922,1856,735086,38910,1.06775208380631,0.05293258203802,1.00466885388412,30203.5
"112",2020-04-20,24601,1772,759687,40682,0.7472510783063,0.0535510019257931,1.00511025743661,30146.5714285714
"113",2020-04-21,28065,1857,787752,42539,1.14080728425674,0.0540004976185398,1.0006476546601,29968.2857142857
"114",2020-04-22,37289,2524,825041,45063,1.32866559771958,0.0546191037778729,1.02400223199702,30445.1428571429
"115",2020-04-23,17588,1721,842629,46784,0.471667247713803,0.0555214691163015,0.979941000900664,29321.2142857143
"116",2020-04-24,26543,3179,869172,49963,1.50915396861496,0.0574834440133829,1.01507018601124,28795.6428571429
"117",2020-04-25,21352,1054,890524,51017,0.804430546660136,0.0572887423584317,0.997674997420776,27783.1428571429
"118",2020-04-26,48529,2172,939053,53189,2.27280816785313,0.0566411054541117,1.1029371034635,29221.5714285714
"119",2020-04-27,26857,1687,965910,54876,0.553421665395949,0.0568127465291797,1.07297840050999,29167.0714285714
"120",2020-04-28,22541,1369,988451,56245,0.839297017537327,0.0569021630814274,1.06821576376742,28989.7857142857
"121",2020-04-29,24132,2110,1012583,58355,1.07058249412182,0.0576298436770122,1.06783664327373,28790.5
"122",2020-04-30,27326,2611,1039909,60966,1.13235537875021,0.0586262836459729,1.06873148102382,28588.9285714286
"123",2020-05-01,29917,2040,1069826,63006,1.09481812193515,0.0588936892541404,1.07190529198523,28463.9285714286
"124",2020-05-02,33955,2062,1103781,65068,1.13497342647993,0.058950099702749,1.0834274342251,28686.9285714286
"125",2020-05-03,29288,1317,1133069,66385,0.862553379472832,0.0585886649445003,1.06877038391556,28427.3571428571
"126",2020-05-04,24972,1297,1158041,67682,0.852635891832833,0.0584452536654574,1.07629787059603,28453.8571428571
"127",2020-05-05,22593,1252,1180634,68934,0.904733301297453,0.0583872732785944,1.05943544324179,28063
"128",2020-05-06,23841,2144,1204475,71078,1.05523834816093,0.0590116025654331,1.03990492541618,27102.4285714286
"129",2020-05-07,24128,2353,1228603,73431,1.01203808565077,0.0597678827090606,1.07850284241167,27569.5714285714
"130",2020-05-08,28369,2239,1256972,75670,1.17577088859416,0.0602002272126985,1.05468976526733,27700
"131",2020-05-09,26957,1510,1283929,77180,0.950227360851634,0.0601123582378776,1.06510382342387,28100.3571428571
"132",2020-05-10,25612,1614,1309541,78794,0.950105723930704,0.0601691737792097,0.970625077429408,26463.4285714286
"133",2020-05-11,20258,734,1329799,79528,0.790957363735749,0.0598045268495464,0.987591913025108,25992.0714285714
"134",2020-05-12,18117,1156,1347916,80684,0.894313357685853,0.0598583294507966,0.991521651607145,25676.0714285714
"135",2020-05-13,22048,1703,1369964,82387,1.21697852845394,0.0601380766209915,1.0019785112023,25527.2142857143
"136",2020-05-14,20782,1746,1390746,84133,0.942579825834543,0.0604948710979575,0.988423114565463,25059.7857142857
"137",2020-05-15,27143,1773,1417889,85906,1.30608218650755,0.0605872533040316,1.00351340489206,24861.6428571429
"138",2020-05-16,25508,1662,1443397,87568,0.939763474929079,0.0606679936289184,0.989569836924146,24258.2857142857
"139",2020-05-17,24487,1186,1467884,88754,0.959973341696723,0.0604639058672211,0.996528405654424,23915.3571428571
"140",2020-05-18,18873,808,1486757,89562,0.770735492302038,0.0602398374448548,0.99067837711651,23479.7142857143
