"","date","total_cases","new_cases","total_deaths","new_deaths","growth_factor","death_percentage","MA_growth_factor","MA_new_cases","MA_new_deaths","gf_14"
"63",2020-03-24,53896,9992,802,205,0.985695965275723,0.0148805106130325,1.31494278779643,3775.5,54.8571428571429,1.2249594438007
"64",2020-03-25,68580,14684,1085,283,1.46957566052842,0.0158209390492855,1.33244380615498,4799.42857142857,74.6428571428571,1.27120343568496
"65",2020-03-26,85063,16483,1394,309,1.12251430128031,0.0163878537084279,1.32850551126075,5947.42857142857,96.4285714285714,1.23919514227884
"66",2020-03-27,102617,17554,1793,399,1.06497603591579,0.0174727384351521,1.31020609359676,7162.5,124.428571428571,1.20430197924673
"67",2020-03-28,122990,20373,2333,540,1.16059017887661,0.0189690218716969,1.31010091958071,8572.64285714286,162.285714285714,1.19687858389429
"68",2020-03-29,141759,18769,2757,424,0.921268345359054,0.019448500624299,1.28410140927073,9855.35714285714,191.785714285714,1.1496288025863
"69",2020-03-30,163711,21952,3403,646,1.16958815067398,0.0207866300981608,1.28221097331834,11354.0714285714,235.857142857143,1.15207102736003
"70",2020-03-31,186755,23044,4337,934,1.04974489795918,0.0232229391448689,1.24320158826829,12889.5,301.214285714286,1.13523154060532
"71",2020-04-01,213139,26384,5385,1048,1.14494011456344,0.0252652025204209,1.19033924503021,14565.6428571429,373.142857142857,1.13003940084122
"72",2020-04-02,241861,28722,6654,1269,1.08861431170406,0.0275116699261146,1.14516585233346,16258.5,459.357142857143,1.11622261780413
"73",2020-04-03,277065,35204,8002,1348,1.22568066290648,0.0288813094400231,1.16280777486171,18422,552.5,1.13306885629056
"74",2020-04-04,310743,33678,9393,1391,0.956652653107601,0.0302275513849065,1.12471662226796,20304.5,645.714285714286,1.10218760178048
"75",2020-04-05,335461,24718,10892,1499,0.733950947205891,0.0324687519562632,1.10606426264162,21549.5714285714,746.071428571429,1.06131997481206
"76",2020-04-06,365324,29863,12438,1546,1.20814790840683,0.0340464902388017,1.09299572384024,22958.5714285714,845.785714285714,1.06538413094062
"77",2020-04-07,395655,30331,14605,2167,1.01567156682182,0.0369134725960749,1.09513683823639,24411.3571428571,985.928571428571,1.06327857631759
"78",2020-04-08,428227,32572,16688,2083,1.07388480432561,0.0389699855450497,1.06687320565048,25689.0714285714,1114.5,1.0523409771213
"79",2020-04-09,462074,33847,18656,1968,1.03914405010438,0.040374485472024,1.06091818770934,26929.3571428571,1233,1.04828067521764
"80",2020-04-10,495203,33129,21162,2506,0.978786893964015,0.0427339898990919,1.05476182042707,28041.8571428571,1383.5,1.04131179196363
"81",2020-04-11,526392,31189,22919,1757,0.941441033535573,0.0435397954376206,1.03910831004557,28814.4285714286,1470.42857142857,1.02755065132226
"82",2020-04-12,553614,27222,24597,1678,0.872807720670749,0.0444298735219846,1.03564683685354,29418.2142857143,1560,1.02095428381614
"83",2020-04-13,578519,24905,25726,1129,0.914885019469547,0.0444687209927418,1.01745375605323,29629.1428571429,1594.5,1.00716999915019
"84",2020-04-14,603930,25411,28890,3164,1.02031720538045,0.0478366698127266,1.01535177801189,29798.2142857143,1753.78571428571,1.00570625445989
"85",2020-04-15,633955,30025,31354,2464,1.18157490850419,0.0494577690845565,1.01796854900766,30058.2857142857,1854.92857142857,1.00872775214239
"86",2020-04-16,666405,32450,33633,2279,1.08076602830974,0.0504693092038625,1.01740795733663,30324.5714285714,1927.07142857143,1.00885897874606
"87",2020-04-17,697441,31036,35543,1910,0.956425269645609,0.0509620168587737,0.998175429246572,30026.8571428571,1967.21428571429,0.990182407477199
"88",2020-04-18,725180,27739,37059,1516,0.89376852687202,0.0511031743842908,0.99368370594403,29602.6428571429,1976.14285714286,0.985872171579729
"89",2020-04-19,750199,25019,39589,2530,0.901943112585169,0.0527713313400844,1.00568314632826,29624.1428571429,2049.78571428571,1.00072628650434
