"","state","2020-01-22","2020-01-23","2020-01-24","2020-01-25","2020-01-26","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-01","2020-02-02","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-08","2020-02-09","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28"
"14","ID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1.33333333333333,3,0.666666666666667,1.375,0.454545454545455,0.6,7.66666666666667,2.1304347826087,1.36734693877551,0.671641791044776,0.688888888888889,1.58064516129032,2.06122448979592,1.08910891089109,1.3,1.54545454545455,0.552036199095023,0.532786885245902,0.369230769230769,2.875,0.594202898550725,0.536585365853659,5.5,0.355371900826446,0.255813953488372,1.63636363636364,1.55555555555556,0.392857142857143,11.1818181818182,0.178861788617886,2.09090909090909,0.282608695652174,0.307692307692308,16,0.46875,1.13333333333333,0.911764705882353,1.06451612903226,0.636363636363636,0.380952380952381,3,1.45833333333333
"15","IL",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,6,1,0.833333333333333,1.6,1.75,1.21428571428571,1.70588235294118,0.413793103448276,4.58333333333333,2.32727272727273,1.046875,1.21641791044776,1.03067484662577,1.76785714285714,0.794612794612795,1.0635593220339,1.30677290836653,2.0609756097561,0.720414201183432,0.952772073921971,2.38146551724138,0.417194570135747,2.03036876355748,1.04594017094017,0.721144024514811,1.68980169971671,1.24559932942163,0.603633916554509,1.12040133779264,1.28756218905473,1.17851622874807,0.881311475409836,1.08779761904762,0.885772913816689,1.29111969111969,0.700358851674641,1.04526046114432,1.09885620915033,0.846096654275093,1.62038664323374,0.8470715835141,0.775288092189501,0.955408753096614,1.33967156439067,1.32516129032258,0.889483933787731,1.48768472906404,0.781089036055924,1,0.934055581723976,1.12002017145739
"16","IN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,2,0,7,0,11,0,5,4,3.45,0,76,0.763157894736842,1.75862068965517,1.14705882352941,4.14529914529915,0,270,1.04444444444444,0.953900709219858,1.39776951672862,1.07712765957447,1.17037037037037,0.839662447257384,1.28643216080402,0.900390625,1.15618221258134,1.06003752345216,0.771681415929204,0.935779816513762,1.3578431372549,0.949458483754513,0.929657794676806,0.615541922290389,0.973421926910299,1.45733788395904,1.37236533957845,1.06143344709898,0.787781350482315,1.15714285714286,0.830687830687831,0.876857749469214,0.837772397094431,0,1185,0.582278481012658,1.01594202898551,1.35235378031384,0.662447257383966
"17","KS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0.25,0,2,2.5,0.6,1.66666666666667,2.6,0.769230769230769,1,0.9,1.77777777777778,0.8125,2.53846153846154,1.36363636363636,0.777777777777778,1.65714285714286,0.982758620689655,0.859649122807018,1.20408163265306,0.915254237288136,1.25925925925926,1.02941176470588,1.11428571428571,0.628205128205128,2,0.561224489795918,2.61818181818182,0.423611111111111,0.950819672131147,1.72413793103448,0.71,0.577464788732394,1.21951219512195,1.36,1.38235294117647,1.23404255319149,0.741379310344828,0.674418604651163,2.36206896551724,0.291970802919708,4.65,1.45698924731183,1.07749077490775,0.965753424657534,0.418439716312057,1.30508474576271,1.06493506493506
"18","KY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.333333333333333,2,2,0.75,0.666666666666667,3,0.166666666666667,4,2,1.625,0.538461538461538,-0.142857142857143,-13,4.23076923076923,0.581818181818182,1.21875,1.28205128205128,1.08,1.12962962962963,0.524590163934426,1.28125,2.41463414634146,0.94949494949495,0.968085106382979,0.67032967032967,1.57377049180328,1.03125,1.12121212121212,0.531531531531532,3.35593220338983,0.863636363636364,1.07017543859649,0.814207650273224,0.74496644295302,0.765765765765766,1.84705882352941,0.54140127388535,0.329411764705882,7.39285714285714,0.806763285024155,1.5748502994012,0.326996197718631,1.74418604651163,1.18,0.649717514124294,2.50434782608696,0.454861111111111,1.32824427480916,0.459770114942529,2.875
"19","LA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0.75,2.83333333333333,2.88235294117647,0.36734693877551,1.83333333333333,1.81818181818182,1.4,1.32142857142857,1.2972972972973,1.57638888888889,0.330396475770925,4.44,0.642642642642643,1.92056074766355,1.2360097323601,0.868110236220472,1.29024943310658,0.393673110720562,2.16964285714286,2.49382716049383,0.981023102310231,2.24558452481077,0.402621722846442,2.16186046511628,0.222461273666093,3.5899419729207,0.764008620689655,0.526093088857546,1.67560321715818,0.7752,0.786377708978328,0.76246719160105,0.72289156626506,1.1952380952381,0.852589641434263,1.32943925233645,1.05799648506151,0.774086378737541,0.746781115879828,1.70402298850575,0.558178752107926,1.21450151057402,1.19900497512438,0.836099585062241,0.925558312655087,0.702412868632708,1.12595419847328,0.738983050847458
"20","MA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,16,1.1875,2.68421052631579,0.0588235294117647,4.66666666666667,1.14285714285714,0.875,1.71428571428571,1.41666666666667,0.617647058823529,1.80952380952381,1.89473684210526,1.22222222222222,1.22727272727273,1.12037037037037,1.08264462809917,2.90839694656489,1.77952755905512,0.853982300884956,1.426597582038,1.23123486682809,0.584070796460177,1.51683501683502,0.963374028856826,1.28801843317972,1.09838998211091,1.16938110749186,0.928969359331476,0.572713643178411,1.75,1.01944652206432,1.16654438738078,1.35283018867925,0.944676894467689,0.928149606299213,1.38653234358431,0.532313575525813,0.931752873563218,1.35312259059368,1.28945868945869,0.981440565620857,0.886987843313823,0.865482233502538,0.918475073313783,0.993614303959132,1.12146529562982,1.76446991404011,1.60636570315037,0.48099474322685,0.620008406893653,1.11118644067797,1.12263575350824
"21","MD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1.5,0.333333333333333,3,0,5,2.8,0,6,3.33333333333333,1.4,0.785714285714286,3.77272727272727,0,54,0.814814814814815,1.38636363636364,1.21311475409836,2.12162162162162,1.22929936305732,1.15025906735751,1.11261261261261,0.688259109311741,1.45882352941176,1.31048387096774,1.06461538461538,1.23410404624277,0.859484777517564,1.31880108991826,0.900826446280992,0.747706422018349,3.5521472392638,0.566493955094991,1.19359756097561,0.9272030651341,0.731404958677686,1.33709981167608,0.756338028169014,1.04096834264432,1.34704830053667,1.0464807436919,0.932741116751269,0.710204081632653,1.6264367816092,0.606595995288575,1.13009708737864,1.64948453608247,0.917708333333333,1.30533484676504,0.708695652173913,1.11165644171779,0.690949227373068
"22","ME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,12,1.25,0.733333333333333,0.818181818181818,0.555555555555556,2.8,1.35714285714286,0.947368421052632,0.611111111111111,2.18181818181818,0.583333333333333,0.857142857142857,3.58333333333333,0.976744186046512,0.523809523809524,0,69,0.463768115942029,1.75,0.428571428571429,0.583333333333333,2.07142857142857,0.689655172413793,0.9,1.27777777777778,1.08695652173913,1.2,0.566666666666667,3.76470588235294,0.578125,1,0.648648648648649,1.375,0.606060606060606,1,0.4,1.625,1.46153846153846,1.57894736842105,0.933333333333333,0.892857142857143,1,0.32,2.125
"23","MI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,1.3,0.615384615384615,2.75,-0.0454545454545455,-11,1.36363636363636,16.9333333333333,0.846456692913386,1.10697674418605,1.04201680672269,1.18145161290323,1.57679180887372,1.09090909090909,1.11309523809524,1.42780748663102,1.24094881398252,0.819919517102616,1.2638036809816,1.08543689320388,1.53667262969589,0.848661233993015,1.33744855967078,0.760512820512821,1.00539447066757,1.0093896713615,1.16345514950166,0.785836664762993,0.841569767441861,1.10362694300518,0.948356807511737,0.532178217821782,1.54263565891473,1.3748743718593,0.771929824561403,1.13920454545455,0.631753948462178,1.01184210526316,0.817945383615085,0.914149443561208,1.68869565217391,1.02677651905252,1.33099297893681,1.01431801055011,0.419762258543834,0.992920353982301,0.802139037433155,2.33777777777778
"24","MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,9,0.666666666666667,0.5,4.66666666666667,1.35714285714286,0.315789473684211,2.83333333333333,0.705882352941177,2.16666666666667,0.846153846153846,1.45454545454545,2.0625,0.393939393939394,0.961538461538462,2.32,0.896551724137931,0.865384615384615,1.37777777777778,1.17741935483871,0.726027397260274,1.09433962264151,0.948275862068966,0.836363636363636,1.6304347826087,0.866666666666667,0.8,1.71153846153846,0.966292134831461,1.04651162790698,0,182,1.04945054945055,0.151832460732984,1.58620689655172,2.43478260869565,0.928571428571429,1.52884615384615,0.874213836477987,1.01438848920863,0.822695035460993,0.517241379310345,1.58333333333333,1.71578947368421,1.05521472392638,1.01162790697674,0.632183908045977,1.2,1.93939393939394
"25","MO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0.5,1,2,0,14,0.285714285714286,11.5,0.391304347826087,0.888888888888889,4.8125,0.935064935064935,1.34722222222222,1.54639175257732,1.07333333333333,1.03105590062112,0.355421686746988,2.4406779661017,2.11111111111111,0.838815789473684,0.949019607843137,1.14876033057851,0.62589928057554,0.482758620689655,4.21428571428571,0.887005649717514,0.923566878980892,0.731034482758621,1.17924528301887,0.94,0.574468085106383,1.67407407407407,1.31858407079646,0.704697986577181,1.02380952380952,0.772093023255814,1.41566265060241,0.612765957446809,1.01388888888889,0.945205479452055,1.40579710144928,0.938144329896907,1.65934065934066,0.596026490066225,0.933333333333333,1.04761904761905,0.801136363636364
"26","MS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.8,0,2,4.5,1.44444444444444,1.23076923076923,1.875,2,1.13333333333333,0.602941176470588,1.58536585365854,0.953846153846154,1.74193548387097,0,0,272,0.327205882352941,1.01123595505618,1.43333333333333,0.883720930232558,2.47368421052632,0.375886524822695,1.71698113207547,0.549450549450549,0.67,1.3134328358209,2.89772727272727,0.811764705882353,0.855072463768116,0.785310734463277,1.14388489208633,0.924528301886792,1.85714285714286,0.952380952380952,0.65,1.08284023668639,1.6448087431694,0.780730897009967,0.863829787234043,0.896551724137931,1.41208791208791,1.08949416342412,1.00357142857143,0.697508896797153,0.938775510204082,1.36413043478261
"27","MT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,0,2,0.5,3,1,1.33333333333333,2,0.875,1.57142857142857,0.545454545454545,2.33333333333333,1.71428571428571,1.29166666666667,0.870967741935484,0.518518518518518,1.14285714285714,1.3125,0.904761904761905,1.26315789473684,0.875,0.904761904761905,0.789473684210526,1.46666666666667,0,13,0,0,0,0,0,0,0,85,0.105882352941176,0.444444444444444,1.75,0,4,0.5,1.5,0.666666666666667,0.5,3,0.333333333333333,2
"28","NC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0.2,9,-0.111111111111111,-1,15,0.0666666666666667,7,0,23,3.21739130434783,0,47,1.51063829787234,0.492957746478873,2.91428571428571,1.00980392156863,1.23300970873786,1.11023622047244,1.17730496453901,1.40963855421687,0.594017094017094,1.35971223021583,0.470899470899471,3.08988764044944,0.865454545454545,1.29831932773109,0.592233009708738,1.55737704918033,1.23157894736842,0.584045584045584,1.11219512195122,1.11842105263158,1.57647058823529,0.529850746268657,1.33333333333333,0.757042253521127,0.353488372093023,3.61842105263158,1.74181818181818,0.555323590814196,1.21804511278195,0.731481481481482,0.687763713080169,1.41717791411043,1.32467532467532,1.31699346405229,1.1166253101737,0.551111111111111,0.80241935483871,2.55276381909548
"29","ND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0.5,6,0.583333333333333,0.285714285714286,1,1,2,2.25,1.44444444444444,0.769230769230769,2.5,0.16,3,1.41666666666667,1.23529411764706,0.571428571428571,1.16666666666667,0.928571428571429,1.61538461538462,0.857142857142857,0.666666666666667,1.16666666666667,1.28571428571429,0.5,1.66666666666667,1,1.53333333333333,0.434782608695652,2.4,1.16666666666667,0,0,0,234,0.0683760683760684,2.25,0.833333333333333,1.3,1.41025641025641,1.16363636363636,1.171875,0.653333333333333
"30","NE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0.333333333333333,5,0.2,2,2.5,0,0,6,1,0.166666666666667,5,1.8,0.444444444444444,0.75,1,2.33333333333333,2,0.5,3.57142857142857,0.84,1.14285714285714,1,1.54166666666667,1.08108108108108,0.75,1.13333333333333,1.05882352941176,1.33333333333333,1.58333333333333,0.592105263157895,1.2,1.2962962962963,0.814285714285714,0.947368421052632,1.38888888888889,0.56,1,1.04761904761905,0.977272727272727,3.72093023255814,0.23125,2.51351351351351,1.53763440860215,1.67832167832168,0.9125,0.981735159817352,1.32093023255814,0.433098591549296,2.95121951219512,1.10192837465565
"31","NH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,1,6,0.666666666666667,2.25,1.44444444444444,0.384615384615385,2.2,0.909090909090909,1.3,1.84615384615385,0.25,4.83333333333333,0.689655172413793,1.5,0.9,2,0.833333333333333,1.2,0,112,0.544642857142857,1.31147540983607,0.6125,0.938775510204082,0.695652173913043,1.28125,0.75609756097561,2.12903225806452,0.651515151515151,1.32558139534884,0.596491228070175,2.11764705882353,0.666666666666667,1.5,1.02777777777778,0.77027027027027,0.87719298245614,1.1,0.8,2.20454545454545,0.845360824742268,0.597560975609756,1.44897959183673,1.04225352112676,0.986486486486487,1
